JobID,JobTitle,Company,Location,Skill,ExperienceLevel,Salary_LPA,PostedDate,Year,Month
1,Project Manager,Infosys,Chennai,Excel,Leadership,24.5,09-12-2022,2022,Dec
2,Data Analyst,Tech Mahindra,Kolkata,AWS,Senior,17.2,11-01-2023,2023,Jan
3,Project Manager,Amazon,Gurgaon,AWS,Fresher,5.7,10-10-2020,2020,Oct
4,Data Scientist,Flipkart,Delhi,Excel,Fresher,9,28-10-2022,2022,Oct
5,Data Scientist,Amazon,Noida,AWS,Fresher,15.9,17-08-2020,2020,Aug
6,Data Analyst,Infosys,Mumbai,AWS,Senior,5.8,18-07-2021,2021,Jul
7,Data Scientist,Amazon,Chennai,Spark,Mid-Level,27.3,24-12-2021,2021,Dec
8,ML Engineer,Accenture,Ahmedabad,Tableau,Senior,11.5,21-11-2022,2022,Nov
9,DevOps Engineer,Capgemini,Chennai,Tableau,Mid-Level,25.6,11-07-2022,2022,Jul
10,Data Engineer,Amazon,Noida,SQL,Mid-Level,5.8,19-04-2020,2020,Apr
11,ML Engineer,HCLTech,Ahmedabad,Azure,Mid-Level,22.6,06-11-2022,2022,Nov
12,ML Engineer,TCS,Noida,Python,Mid-Level,16.4,13-03-2021,2021,Mar
13,Data Engineer,Capgemini,Delhi,Power BI,Mid-Level,9.2,24-03-2020,2020,Mar
14,Data Scientist,IBM,Hyderabad,AWS,Mid-Level,4.1,23-08-2020,2020,Aug
15,Project Manager,Infosys,Noida,Python,Mid-Level,29.5,02-05-2020,2020,May
16,DevOps Engineer,TCS,Kolkata,Azure,Fresher,27.1,19-03-2021,2021,Mar
17,Data Engineer,Accenture,Bangalore,Excel,Fresher,19,25-03-2021,2021,Mar
18,Project Manager,Infosys,Noida,SQL,Mid-Level,26.2,18-09-2022,2022,Sep
19,Project Manager,Wipro,Chennai,Azure,Mid-Level,7.8,27-11-2020,2020,Nov
20,Data Analyst,Cognizant,Noida,AWS,Senior,19.9,10-08-2022,2022,Aug
21,DevOps Engineer,Amazon,Mumbai,AWS,Fresher,21.9,14-03-2022,2022,Mar
22,Business Analyst,IBM,Chennai,Tableau,Senior,27.2,23-09-2022,2022,Sep
23,Data Engineer,HCLTech,Hyderabad,Power BI,Senior,21.9,31-08-2021,2021,Aug
24,DevOps Engineer,Infosys,Ahmedabad,AWS,Fresher,12.6,02-07-2022,2022,Jul
25,DevOps Engineer,Flipkart,Hyderabad,SQL,Mid-Level,5.8,11-01-2020,2020,Jan
26,Data Analyst,Tech Mahindra,Delhi,Excel,Senior,11.7,17-11-2022,2022,Nov
27,Data Analyst,Cognizant,Bangalore,Excel,Mid-Level,7.8,21-12-2022,2022,Dec
28,Data Scientist,Accenture,Delhi,Tableau,Fresher,27.6,20-02-2021,2021,Feb
29,ML Engineer,Flipkart,Mumbai,Tableau,Leadership,15.4,23-04-2021,2021,Apr
30,Business Analyst,Amazon,Kolkata,Tableau,Leadership,20.5,22-04-2021,2021,Apr
31,DevOps Engineer,Flipkart,Bangalore,Azure,Mid-Level,5,23-01-2020,2020,Jan
32,Project Manager,HCLTech,Noida,Python,Mid-Level,21.2,02-07-2021,2021,Jul
33,Software Engineer,Amazon,Mumbai,AWS,Fresher,7.8,30-11-2021,2021,Nov
34,Business Analyst,Oracle,Hyderabad,Excel,Mid-Level,23.3,30-05-2020,2020,May
35,Software Engineer,HCLTech,Pune,Machine Learning,Senior,6.3,18-04-2022,2022,Apr
36,ML Engineer,Deloitte,Pune,Power BI,Fresher,25.6,15-03-2020,2020,Mar
37,Data Analyst,Flipkart,Mumbai,Python,Senior,17,05-06-2022,2022,Jun
38,Data Scientist,Oracle,Chennai,SQL,Mid-Level,18.5,24-04-2022,2022,Apr
39,Software Engineer,Deloitte,Pune,Tableau,Fresher,5.4,02-11-2021,2021,Nov
40,Software Engineer,Wipro,Pune,SQL,Leadership,14.9,29-12-2020,2020,Dec
41,Data Scientist,Oracle,Bangalore,Azure,Mid-Level,19.8,17-08-2021,2021,Aug
42,Project Manager,Amazon,Noida,AWS,Mid-Level,13.6,09-11-2022,2022,Nov
43,Project Manager,TCS,Hyderabad,R,Senior,22.6,23-01-2022,2022,Jan
44,Data Scientist,Infosys,Bangalore,Power BI,Mid-Level,8.8,06-11-2022,2022,Nov
